Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,Predicted_Exam_Score,Predicted_Group
23,84,1,0,0,7,73,1,1,0,1,2,1,2,3,0,1,2,1,67,69.0942661049657,Pass
19,64,1,2,0,8,59,1,1,2,2,2,1,0,4,0,0,1,0,61,61.78831814164289,Pass
24,98,2,2,1,7,91,2,1,2,2,2,1,1,4,0,2,2,1,74,72.78217021708161,Pass
29,89,1,2,1,8,98,2,1,1,2,2,1,0,4,0,1,1,1,71,71.53343433088216,Pass
19,92,2,2,1,6,65,2,1,3,2,0,1,1,4,0,0,2,0,70,69.54808339292477,Pass
19,88,2,2,1,8,89,2,1,3,2,2,1,2,3,0,2,2,1,71,70.09326630109508,Pass
29,84,2,1,1,7,68,1,1,1,1,2,0,1,2,0,1,1,1,67,69.64066055526757,Pass
25,78,1,0,1,6,50,2,1,1,0,0,1,0,2,0,1,0,1,66,66.7516940529847,Pass
17,94,2,0,0,6,80,0,1,0,2,1,0,1,1,0,0,2,1,69,68.47766259313815,Pass
23,98,2,2,1,8,71,2,1,0,0,0,1,2,5,0,1,1,1,72,71.34839548267391,Pass
17,80,1,0,0,8,88,2,0,4,2,0,0,1,4,0,0,1,1,68,67.36408197788708,Pass
17,97,2,0,1,6,87,1,1,2,1,0,0,1,2,0,1,2,1,71,71.51454813149027,Pass
21,83,2,2,1,8,97,1,1,2,2,2,1,2,4,0,1,2,1,70,69.72312695473747,Pass
9,82,2,2,1,8,72,2,1,2,2,2,0,2,3,0,2,2,1,66,64.7841240101916,Pass
10,78,2,0,1,8,74,2,1,1,1,2,0,1,4,0,2,2,1,65,64.51515112013475,Pass
17,68,2,2,0,8,70,2,1,2,2,2,0,2,4,0,1,2,0,64,63.67058385741362,Pass
14,60,2,1,1,10,65,1,1,0,0,2,0,2,3,0,0,2,1,60,61.04109365006235,Pass
22,70,1,2,1,6,82,2,1,1,1,0,1,1,3,0,1,2,0,65,66.51041571692072,Pass
15,80,2,2,1,9,91,1,1,3,1,2,1,2,2,0,0,1,0,67,66.74552558908908,Pass
12,75,2,0,1,7,58,2,1,3,2,2,0,2,4,0,0,2,1,66,64.7585178484618,Pass
29,78,2,2,0,5,99,0,1,0,0,2,1,0,1,0,1,1,0,69,68.09831204850302,Pass
19,99,2,0,0,6,84,2,1,1,2,0,1,1,3,0,1,2,1,72,71.11890829268359,Pass
20,74,2,0,0,8,89,1,1,1,2,2,1,0,2,0,0,1,0,66,65.01754800563027,Pass
11,78,0,2,1,8,100,0,1,1,1,2,1,1,3,0,1,1,1,66,65.5436586615,Pass
17,65,1,0,1,5,75,2,1,2,1,2,1,2,3,0,1,2,0,63,65.16281619041546,Pass
21,62,0,1,1,6,54,0,1,0,0,0,1,2,3,0,2,0,1,64,63.886425373961146,Pass
13,91,1,2,0,6,90,2,1,1,0,2,1,0,2,1,1,1,0,65,65.5424275788609,Pass
22,83,0,0,1,6,94,2,1,0,0,2,1,1,2,0,0,1,1,71,69.29365882530337,Pass
16,90,2,2,0,4,58,2,1,1,1,2,1,1,3,0,1,1,0,66,65.70528213401143,Pass
18,66,0,0,0,4,51,1,1,2,1,2,0,1,2,0,0,2,1,64,63.73558827513607,Pass
16,83,1,2,0,6,57,2,1,0,0,1,1,2,4,1,1,2,0,63,64.86631635575108,Pass
31,70,2,0,1,7,66,2,1,1,0,2,1,0,3,0,0,2,1,69,67.67978504093763,Pass
20,69,2,2,1,8,96,2,1,2,2,0,1,2,3,0,1,2,1,67,66.76067667164287,Pass
14,60,0,2,0,5,50,2,1,2,2,2,1,1,3,0,0,3,0,61,60.811352393969315,Pass
25,65,0,2,0,5,90,2,1,2,2,2,1,2,3,0,0,1,0,68,66.43360477475481,Pass
13,72,1,2,0,6,93,1,1,1,1,2,1,0,3,0,1,2,1,61,63.451783220789196,Pass
21,65,2,1,1,7,91,1,1,2,2,0,1,2,3,0,1,0,0,64,65.66569725987745,Pass
